HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.paragraph_id,Input.candidates,Input.content,Answer.QuestionSentencesBox,Answer.QuestionTextBox,Approve,Reject
3W0XM68YZPVDM31LHFQWLFZZ5GB1KO,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 14:20:37 PST 2016,1,BatchId:2291351;,900,86400,Wed Mar 02 14:20:37 PST 2016,,,3PJUZCGDJ6GE3R0926DNY049HNP89A,A2HTN7HCNBQ8V4,Approved,Tue Mar 01 15:49:01 PST 2016,Tue Mar 01 15:50:07 PST 2016,Wed Mar 02 15:50:07 PST 2016,Wed Mar 02 08:21:35 PST 2016,,,66,100% (45/45),100% (45/45),100% (45/45),Rolling_in_the_Deep-Commercial_performance,1,"Category: Music<br/>Title: Rolling in the Deep<br/>Section: Commercial performance<br/><br/>1. <strike>In the UK, ""Rolling in the Deep"" debuted at number 2 (her second number 2 debut, after ""Chasing Pavements""), behind Bruno Mars's ""Grenade"".</strike><br/>2. The song spent the first ten weeks of its chart run in the top ten.Upon its American release, ""Rolling in the Deep"" became Adele's second single to chart in the country.<br/>3. The song debuted on the ""Billboard"" Hot 100 at number 68 on 25 December 2010.<br/>4. Later on, it became her first ever single to top a ""Billboard"" chart when it reached number one on the Hot Adult Top 40 Tracks chart in March 2011, and became her first number one hit in the country when it topped the ""Billboard"" Hot 100 in May 2011.<br/>5. As a result, Adele became the first British singer to have topped both the ""Billboard"" Hot 100 and ""Billboard"" 200 charts in the same week since Leona Lewis did the same back in 2008.<br/>6. In its 24th charting week, ""Rolling in the Deep"" stayed at number-one, making it the latest single at the top since Lady Gaga's ""Just Dance"" spent its third and final week at number one in its 24th charting week as well.<br/>7. It stayed on top of the chart for seven straight weeks, the second longest run in 2011 behind Rihanna's ""We Found Love"", which spent eight weeks on top in 2011, and two weeks in 2012.<br/>8. It has been certified 7× platinum, making it only the second song by a British female artist to reach this feat since Leona Lewis' ""Bleeding Love"".<br/>9. As of October 2013, ""Rolling in the Deep"" has sold 8 million digital copies in the United States, becoming the second song to sell 8 million downloads.<br/>10. It is the second biggest selling digital song in the United States, and the biggest-selling digital song of all time.As of 26 July 2011, ""Rolling in the Deep"" was the third best selling digital single across Europe with 1.26 million copies sold.<br/>11. As of 5 November 2011 issue of ""Billboard"", it had been No.<br/>12. 1 on the Adult Contemporary chart for 19 consecutive weeks.<br/>13. ""Rolling in the Deep"" has become her label XL Recordings' best selling single, overtaking M.I.A.<br/>14. 's ""Paper Planes"" released in 2008 which until 2011 held the record.<br/>15. The song became also the longest-charting release in Finland, peaking at number one and charting for 50 weeks.<br/>",2,"How many weeks did Adele's song ""Rolling in the Deep"" spend in the Billboard top 10?",,
31ANT7FQN82L8V1WCHPBBDWOPFCH5I,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 14:20:37 PST 2016,1,BatchId:2291351;,900,86400,Wed Mar 02 14:20:37 PST 2016,,,3NAPMVF0ZWFZ3TAR7S62AD000XY72J,A7BW5SCFKBUCE,Approved,Tue Mar 01 14:28:38 PST 2016,Tue Mar 01 14:39:33 PST 2016,Wed Mar 02 14:39:33 PST 2016,Wed Mar 02 08:21:35 PST 2016,,,655,100% (174/174),100% (174/174),100% (174/174),Gangnam_Style-Miscellaneous,1,"Category: Music<br/>Title: Gangnam Style<br/>Section: Miscellaneous<br/><br/>1. <strike>The music video came in first with 21% rating in the 2012 Billboard.com's readers poll, beating ""Where Have You Been"" by Rihanna (19%) and ""Beauty and a Beat"" by Justin Bieber featuring Nicki Minaj (11%).</strike><br/>2. The song was the most popular song played on New Year's Eve and the most sung song on the day, leaving ""Auld Lang Syne"" in second place for the first time since 2005, on karaoke company Lucky Voice's online service in the United Kingdom.<br/>3. CNN readers picked ""Gangnam Style"" as the eighth best song of 2012.<br/>4. ""The Week"" (US edition) ranked the song's global popularity at No.<br/>5. 6 with the strapline ""'Gangnam Style' takes over the world"" on the 13 biggest pop culture moments of the year list.<br/>6. The phenomenon of the song and the video was also picked as one of the 2012's most viral moments in music by Wendy Geller of Yahoo!<br/>7. Music, and No.<br/>8. 2 on the 2012 top 20 music moments list after Whitney Houston's passing by ""Billboard"", being written ""If there's one meme, song and face that has been truly inescapable in the second half of 2012, it's South Korean rapper Psy and his outrageous 'Gangnam Style'.""<br/>",3,CNN readers ranked it and which number for the best song of 2012?,,
31J7RYECZLQO69J32F2X0FCEUGG1LR,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 14:20:37 PST 2016,1,BatchId:2291351;,900,86400,Wed Mar 02 14:20:37 PST 2016,,,31EUONYN2V3FLQ0SCO7FN4J6NKEVOI,A2LKGMMTO4DC4Z,Approved,Tue Mar 01 16:19:46 PST 2016,Tue Mar 01 16:20:47 PST 2016,Wed Mar 02 16:20:47 PST 2016,Wed Mar 02 08:21:35 PST 2016,,,61,100% (33/33),100% (33/33),100% (33/33),Let_It_Be-Abstract,2,"Category: Music<br/>Title: Let It Be<br/>Section: Abstract<br/><br/>1. Let It Be is the twelfth and final studio album released by the English rock band the Beatles.<br/>2. <strike>It was released on 8 May 1970 by the band's Apple Records label shortly after the group announced their break-up.Most of ""Let It Be"" was recorded in January 1969, before the recording and release of the album ""Abbey Road"".</strike><br/>3. For this reason, some critics and fans, such as Mark Lewisohn, argue that ""Abbey Road"" should be considered the group's final album and ""Let It Be"" the penultimate.<br/>4. ""Let It Be"" was originally intended to be released before ""Abbey Road"" during mid-1969 as Get Back, but the Beatles were unhappy with this version, which was mixed and compiled by Glyn Johns, and it was temporarily shelved.<br/>5. A new version of the album was created by Phil Spector in 1970 and finally released as ""Let It Be"", serving as the album for the 1970 motion picture of the same name.<br/>6. While three songs from the sessions were released as singles before the album's release, ""Get Back""/""Don't Let Me Down"" and ""Let It Be"", the songs were remixed by Spector for the album and ""Don't Let Me Down"" was not included.Despite a mixed review from ""Rolling Stone"" magazine at the time of its release, the album was ranked number 86 in the magazine's list of the 500 greatest albums of all time in 2003.<br/>7. This was, however, adjusted to #392 in the 2012 version.<br/>8. ""Let It Be... Naked"" was released in 2003, an alternative version of the album stripping much of Phil Spector's production work and using some different versions of songs.<br/>",1,"Which band released ""Let It Be""?",,
31MCUE39BKM4UKJHESJ0BGM3WJ7G3R,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 14:20:37 PST 2016,1,BatchId:2291351;,900,86400,Wed Mar 02 14:20:37 PST 2016,,,3G0WWMR1UVK5YX4ZPADS2SKTGIMNQT,A2ZOZP0FEQ420,Approved,Tue Mar 01 15:23:59 PST 2016,Tue Mar 01 15:25:11 PST 2016,Wed Mar 02 15:25:11 PST 2016,Wed Mar 02 08:21:35 PST 2016,,,72,100% (14/14),100% (14/14),100% (14/14),Hey_Jude-Personnel,1,"Category: Music<br/>Title: Hey Jude<br/>Section: Personnel<br/><br/>1. •&nbsp;&nbsp;&nbsp;&nbsp;<strike>Paul McCartney – lead vocal, piano, bass</strike><br/>2. •&nbsp;&nbsp;&nbsp;&nbsp;John Lennon – backing vocal, acoustic guitar<br/>3. •&nbsp;&nbsp;&nbsp;&nbsp;George Harrison – backing vocal, electric guitar<br/>4. •&nbsp;&nbsp;&nbsp;&nbsp;Ringo Starr – backing vocal, drums, tambourine<br/>5. •&nbsp;&nbsp;&nbsp;&nbsp;Uncredited – 10 violins, three violas, three cellos, two double basses, two flutes, two clarinets, one bass clarinet, one bassoon, one contrabassoon, four trumpets, two horns, four trombones, and one percussion instrument.<br/>6. EMI archives do not record the names of the studio musicians, but it has been established that one of the cellists was Bobby Kok, and two of the flautists were Bill Jackman and Brian Warren.<br/>7. •&nbsp;&nbsp;&nbsp;&nbsp;Personnel per Ian MacDonald and Mark Lewisohn.<br/>",2,Who was the backing vocal and acoustic guitar?,,
3H1C3QRA01JUN6J91Q4D4G5LPG6CE5,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 14:20:37 PST 2016,1,BatchId:2291351;,900,86400,Wed Mar 02 14:20:37 PST 2016,,,336YQZE83VEANT01THAPR202FWI5MR,A7BW5SCFKBUCE,Approved,Tue Mar 01 14:21:36 PST 2016,Tue Mar 01 14:29:28 PST 2016,Wed Mar 02 14:29:28 PST 2016,Wed Mar 02 08:21:36 PST 2016,,,472,100% (174/174),100% (174/174),100% (174/174),I_Want_to_Hold_Your_Hand-In_the_studio,8,"Category: Music<br/>Title: I Want to Hold Your Hand<br/>Section: In the studio<br/><br/>1. The Beatles started recording ""I Want to Hold Your Hand"" at EMI Studios in Studio 2 on 17 October 1963.<br/>2. This song, along with the single's flip side, ""This Boy"", was the first Beatles song to be recorded with four-track technology.<br/>3. The two songs were recorded on the same day, and each needed seventeen takes to complete.<br/>4. Also, the Beatles were experimenting with organ-sounding guitars, which was achieved by extreme compression on John Lennon's rhythm guitar.Mono and stereo mixing was done by George Martin on 21 October 1963; further stereo mixes were done on 8 June 1965, for compilations released by EMI affiliates in Australia and the Netherlands, and on 7 November 1966.<br/>5. ""I Want to Hold Your Hand"" was one of two Beatles songs (along with ""She Loves You"" as """"Sie liebt dich"""") to be later recorded in German, entitled ""Komm, gib mir deine Hand"".<br/>6. Both songs were translated by Luxembourger musician Camillo Felgen, under the pseudonym of ""Jean Nicolas"".Odeon, the German arm of EMI (the parent company of the Beatles' record label, Parlophone) was convinced that the Beatles' records would not sell in Germany unless they were sung in German.<br/>7. The Beatles detested the idea, and when they were due to record the German version on 27 January 1964 at EMI's Pathe Marconi Studios in Paris (where the Beatles were performing 18 days of concerts at the Olympia Theatre) they chose to boycott the session.<br/>8. <strike>Their record producer, George Martin, having waited some hours for them to show up, was outraged and insisted that they give it a try.</strike><br/>9. Two days later, the Beatles recorded ""Komm, gib mir deine Hand"", one of the few times in their career that they recorded outside of London.<br/>10. However, Martin later conceded: ""They were right, actually, it wasn’t necessary for them to record in German, but they weren’t graceless, they did a good job"".<br/>11. ""Komm, gib mir deine Hand"" appeared in full stereo in the United States on the Capitol LP ""Something New"" and years later on the Capitol CD compilation called ""The Capitol Albums, Volume 1"".The German-language track was a big hit in Germany at the time, but today, like all the other German-lyrics versions of English-language pop songs that were popular in that country during the 1950s and 1960s, it is generally considered as a cultural curiosity from a by-gone era at best.<br/>12. The English versions are much better known in Germany today; the Beatles' Red and Blue albums of the 1970s already featured the English hits on the German pressings.<br/>",5,Which songs were recorded in German?,,
3KTCJ4SCVG18CR1O2R3C0SR3UL61MT,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 14:20:37 PST 2016,1,BatchId:2291351;,900,86400,Wed Mar 02 14:20:37 PST 2016,,,3GGAI1SQEVYVME9G8RXX586C7D5CM7,A7BW5SCFKBUCE,Approved,Tue Mar 01 14:22:56 PST 2016,Tue Mar 01 14:33:11 PST 2016,Wed Mar 02 14:33:11 PST 2016,Wed Mar 02 08:21:36 PST 2016,,,615,100% (174/174),100% (174/174),100% (174/174),Every_Breath_You_Take-Legacy,1,"Category: Music<br/>Title: Every Breath You Take<br/>Section: Legacy<br/><br/>1. <strike>In 1999, ""Every Breath You Take"" was listed as one of the Top 100 Songs of the Century by BMI.</strike><br/>2. In 2003, VH1 ranked the song the #2 greatest Break-up song of all time.<br/>3. And also as of 2003, Sting was still taking in an average of $2000 per day in royalties for the then 20-year-old song ""Every Breath You Take.<br/>4. ""In October 2007, Sting was awarded a Million-Air certificate for 9 million airplays of ""Every Breath You Take"" at the prestigious BMI Awards show in London, with only Van Morrison's ""Brown Eyed Girl"" a close second at 8 million air plays.Sting performed the song in front of an audience of 1.9 billion people at Live Aid in 1985, with Phil Collins providing additional vocals.<br/>5. Sting performed it again, 20 years later, at Live 8.<br/>",2,When did Vh1 rank the song as the #2 best break up song?,,
32TZXEA1OLKS81CIWN3GEYA38UL411,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 14:20:37 PST 2016,1,BatchId:2291351;,900,86400,Wed Mar 02 14:20:37 PST 2016,,,3VZLGYJEYLAJOJJUECJERNNVNZOXZO,A2LKGMMTO4DC4Z,Approved,Tue Mar 01 16:06:17 PST 2016,Tue Mar 01 16:09:15 PST 2016,Wed Mar 02 16:09:15 PST 2016,Wed Mar 02 08:21:36 PST 2016,,,178,100% (33/33),100% (33/33),100% (33/33),Free_Bird-Origins,5,"Category: Music<br/>Title: Free Bird<br/>Section: Origins<br/><br/>1. According to guitarist Gary Rossington, for two years after Allen Collins wrote the initial chords, vocalist Ronnie Van Zant insisted that there were too many for him to create a melody in the belief that the melody needed to change alongside the chords.<br/>2. After Collins played the unused sequence at rehearsal one day, Van Zant asked him to repeat it, then wrote out the melody and lyrics in three or four minutes.<br/>3. The guitar solos that finish the song were added in originally to give Van Zant a chance to rest, as the band was playing several sets per night at clubs at the time.<br/>4. Soon afterward, the band learned piano-playing roadie Billy Powell had written an intro to the song; upon hearing it, they included it as the finishing touch and had him formally join as their keyboardist.<br/>5. <strike>The song was originally written in memory of Duane Allman.Allen Collins's then-girlfriend, Kathy, whom he later married, asked him, ""If I leave here tomorrow, would you still remember me?""</strike><br/>6. Collins noted the question and it eventually became the opening line of ""Free Bird"".<br/>",4,Who became their keyboardist?,,
3FSEU3P2NR0N2CDX5TE8SI3Q46ZRR3,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 14:20:37 PST 2016,1,BatchId:2291351;,900,86400,Wed Mar 02 14:20:37 PST 2016,,,31Z0PCVWUKFTNS44Q7QYB09Q0AN7TN,A2HTN7HCNBQ8V4,Approved,Tue Mar 01 16:05:54 PST 2016,Tue Mar 01 16:08:04 PST 2016,Wed Mar 02 16:08:04 PST 2016,Wed Mar 02 08:21:36 PST 2016,,,130,100% (45/45),100% (45/45),100% (45/45),Counting_Stars-Credits_and_personnel,5,"Category: Music<br/>Title: Counting Stars<br/>Section: Credits and personnel<br/><br/>1. •&nbsp;&nbsp;&nbsp;&nbsp;Recording<br/>2. •&nbsp;&nbsp;&nbsp;&nbsp;Recorded at Black Rock Studio Santorini, Santorini, Greece, and Patriot Studios, Denver, Colorado<br/>3. •&nbsp;&nbsp;&nbsp;&nbsp;Mastered at Sterling Sound, New York<br/>4. •&nbsp;&nbsp;&nbsp;&nbsp;Personnel<br/>5. •&nbsp;&nbsp;&nbsp;&nbsp;<strike>Songwriting – Ryan Tedder</strike><br/>6. •&nbsp;&nbsp;&nbsp;&nbsp;Production – Ryan Tedder, Noel Zancanella<br/>7. •&nbsp;&nbsp;&nbsp;&nbsp;Engineering – Smith Carlson<br/>8. •&nbsp;&nbsp;&nbsp;&nbsp;Assistant engineering – Matthew Tryba<br/>9. •&nbsp;&nbsp;&nbsp;&nbsp;Harp – HarpEri<br/>10. •&nbsp;&nbsp;&nbsp;&nbsp;Backing vocals — Bobbie Gordon, Brent Kutzle, Zach Filkins, David McGlohon<br/>11. •&nbsp;&nbsp;&nbsp;&nbsp;Mixing – Joe Zook<br/>12. •&nbsp;&nbsp;&nbsp;&nbsp;Assistant mix engineering – Ryan Lipman<br/>13. •&nbsp;&nbsp;&nbsp;&nbsp;Mastering – Chris Gehringer, Will Quinnell<br/>",7,"Who was in charge of engineering on the album ""Counting Stars?""",,
3W0XM68YZPVDM31LHFQWLFZZ5GBK17,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 14:20:38 PST 2016,1,BatchId:2291351;,900,86400,Wed Mar 02 14:20:38 PST 2016,,,3W2LOLRXLBF42SYW5CACFQDUI9IKRL,A2HTN7HCNBQ8V4,Approved,Tue Mar 01 15:16:35 PST 2016,Tue Mar 01 15:17:58 PST 2016,Wed Mar 02 15:17:58 PST 2016,Wed Mar 02 08:21:36 PST 2016,,,83,100% (45/45),100% (45/45),100% (45/45),How_to_Save_a_Life-Abstract,2,"Category: Music<br/>Title: How to Save a Life<br/>Section: Abstract<br/><br/>1. How to Save a Life is the debut album by American alternative rock group The Fray.<br/>2. <strike>Released on September 13, 2005 through Epic Records, the record charted in the top 15 on the ""Billboard"" 200 and was a top ten hit in Australia, Canada, Ireland, New Zealand and the UK.</strike><br/>3. The first two singles from the album, ""Over My Head (Cable Car)"" and ""How to Save a Life"" helped the album become a commercial success and brought the band mainstream popularity.Critical reception to the album was mixed.<br/>4. The piano-rock style of the album drew comparisons with British piano-driven bands like Keane and Coldplay.<br/>5. The album was certified double platinum by the RIAA, and was also certified platinum in Australia, Canada, New Zealand and in the UK.<br/>6. The album went on to become the best-selling digital album of all time, breaking the record held previously by Coldplay's ""X&Y"".<br/>7. It was ranked #21 on ""Billboard""'s list of the ""Best Digital Albums of the Decade"".<br/>",1,Which release was the debut album by American alternative rock group The Fray?,,
3CVDZS288H0Z26VW9QIXPUVXVVPMFF,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 14:20:38 PST 2016,1,BatchId:2291351;,900,86400,Wed Mar 02 14:20:38 PST 2016,,,3YDTZAI2WXGVVLACMQ8H2I6LHP914R,A2HTN7HCNBQ8V4,Approved,Tue Mar 01 16:32:15 PST 2016,Tue Mar 01 16:33:08 PST 2016,Wed Mar 02 16:33:08 PST 2016,Wed Mar 02 08:21:36 PST 2016,,,53,100% (45/45),100% (45/45),100% (45/45),Chasing_Cars-Covers_and_samples,7,"Category: Music<br/>Title: Chasing Cars<br/>Section: Covers and samples<br/><br/>1. It was covered by The Baseballs for their re-released album Strike!<br/>2. Back!<br/>3. A trance version of the song was remixed by Blake Jarrell & Topher Jones.<br/>4. It aired on the trance radio show ""A State of Trance"" episode 262 on 17 August 2006.<br/>5. It was later voted to be the 12th best track played on ""A State of Trance"" in 2006 by the listeners.<br/>6. The song was also used in a mashup by Party Ben, who combined the song with ""Every Breath You Take"" by The Police for the movie ""Just Go With It"".In 2008, Kate Ceberano recorded a version for her album So Much Beauty.<br/>7. <strike>It also featured in the Grey's Anatomy episode ""Song Beneath The Song"", sung by Callie Torres' spirit, Owen Hunter and Miranda Bailey.</strike><br/>",4,"When did the song ""Chasing Cars"" air on the trance radio show ""A State of Trance?""",,
