paragraph_id,content
Rolling_in_the_Deep-Commercial_performance,"<font color=""blue"">Question</font>: In the U.K. what number did 'Rolling in the Deep' debut at?<br/><font color=""blue"">Sentence(s)</font>: In the UK, ""Rolling in the Deep"" debuted at number 2 (her second number 2 debut, after ""Chasing Pavements""), behind Bruno Mars's ""Grenade""."
Gangnam_Style-Miscellaneous,"<font color=""blue"">Question</font>: What was the percentage rating for Gangnam Style music video in the 2012 Billboard.com readers poll?<br/><font color=""blue"">Sentence(s)</font>: The music video came in first with 21% rating in the 2012 Billboard.com's readers poll, beating ""Where Have You Been"" by Rihanna (19%) and ""Beauty and a Beat"" by Justin Bieber featuring Nicki Minaj (11%)."
Let_It_Be-Abstract,"<font color=""blue"">Question</font>: On what day was ""Let It Be"" album released?<br/><font color=""blue"">Sentence(s)</font>: It was released on 8 May 1970 by the band's Apple Records label shortly after the group announced their break-up.Most of ""Let It Be"" was recorded in January 1969, before the recording and release of the album ""Abbey Road""."
Hey_Jude-Personnel,"<font color=""blue"">Question</font>: Who did vocals in Hey Jude?<br/><font color=""blue"">Sentence(s)</font>: Paul McCartney – lead vocal, piano, bass"
I_Want_to_Hold_Your_Hand-In_the_studio,"<font color=""blue"">Question</font>: Who produced ""I Want to Hold Your Hand"" of The Beatles?<br/><font color=""blue"">Sentence(s)</font>: Their record producer, George Martin, having waited some hours for them to show up, was outraged and insisted that they give it a try."
Every_Breath_You_Take-Legacy,"<font color=""blue"">Question</font>: What year did BMI list ""Every Breath You Take"" on their top 100 songs og the century?<br/><font color=""blue"">Sentence(s)</font>: In 1999, ""Every Breath You Take"" was listed as one of the Top 100 Songs of the Century by BMI."
Free_Bird-Origins,"<font color=""blue"">Question</font>: Who was ""Free Bird"" written in memory of?<br/><font color=""blue"">Sentence(s)</font>: The song was originally written in memory of Duane Allman.Allen Collins's then-girlfriend, Kathy, whom he later married, asked him, ""If I leave here tomorrow, would you still remember me?"""
Counting_Stars-Credits_and_personnel,"<font color=""blue"">Question</font>: Who is credited for songwriting of the song ""Counting Stars""?<br/><font color=""blue"">Sentence(s)</font>: Songwriting – Ryan Tedder"
How_to_Save_a_Life-Abstract,"<font color=""blue"">Question</font>: When was ""How to Save a Life"" released?<br/><font color=""blue"">Sentence(s)</font>: Released on September 13, 2005 through Epic Records, the record charted in the top 15 on the ""Billboard"" 200 and was a top ten hit in Australia, Canada, Ireland, New Zealand and the UK."
Chasing_Cars-Covers_and_samples,"<font color=""blue"">Question</font>: In which episode of Grey's Anatomy does the song ""Chasing Cars"" appear?<br/><font color=""blue"">Sentence(s)</font>: It also featured in the Grey's Anatomy episode ""Song Beneath The Song"", sung by Callie Torres' spirit, Owen Hunter and Miranda Bailey."
I_Believe_I_Can_Fly-Cover_versions,"<font color=""blue"">Question</font>: What are some of the cover versions of the song ""I Believe I Can Fly""?<br/><font color=""blue"">Sentence(s)</font>: In 2003, punk rock band Me First and the Gimme Gimmes covered the song for their album ""Take a Break"".</br>American singer William Hung recorded this song for his 2004 album ""Inspiration"".</br>Saxophonist Marion Meadows also covered the song from the album ""Dressed to Chill.""</br>American singer and actress Patti Labelle sang the chorus of the song on her 1998 live album ""Live One Night Only"" as an addition to her signature tune ""Over the Rainbow"".</br>American singer and actress Jessica Simpson sang the song on her DreamChaser Tour in 2001.</br>The song has also been covered by Etta James, Yolanda Adams (in a duet with Gerald Levert), Ruth Brown, James Ingram, Ronan Keating, Bianca Ryan, and formerly of Woe, Is Me Tyler Carter.</br>""American Idol"" candidates Katharine McPhee, Anwar Robinson, Aaron Kelly, Curtis Finch Jr., and Jacob Lusk all performed the song in different seasons of the TV show.</br>The song was covered by Tim Olstad on season 3 of the X-Factor USA."
Viva_la_Vida-In_popular_culture,"<font color=""blue"">Question</font>: What has also been spoofed in a music video titled ""Fallen Kingdom""?<br/><font color=""blue"">Sentence(s)</font>:  ""Viva la Vida"" has also been spoofed in a music video titled ""Fallen Kingdom"", created by YouTube's CaptainSparklez and TryHardNinja."
Love_the_Way_You_Lie-Synopsis,"<font color=""blue"">Question</font>: What does Rihanna sing the chorus in front of?<br/><font color=""blue"">Sentence(s)</font>: Rihanna sings the chorus in front of a burning house, while an interspersing scene shows fire on a woman's (Fox) palms."
All_I_Want_for_Christmas_Is_You-Live_performances,"<font color=""blue"">Question</font>: What was the first year that ""All I Want for Christmas Is You"" was on Carey's set list?<br/><font color=""blue"">Sentence(s)</font>: It was part of the set-list during the Japanese shows of Carey's Daydream World Tour (1996), Butterfly World Tour (1998), Rainbow World Tour (2000), (2002–03) (also sung during the December leg of the tour) and The Adventures of Mimi Tour (2006)."
Jingle_Bell_Rock-Chart_performance,"<font color=""blue"">Question</font>: What 1996 film was the song featured in?<br/><font color=""blue"">Sentence(s)</font>: After it was featured on the soundtrack to the 1996 film ""Jingle All the Way"", the original version returned to the country charts in late 1996-early 1997, reaching a peak of No."
"Have_Yourself_a_Merry_Little_Christmas-""Meet_Me_in_St._Louis""","<font color=""blue"">Question</font>: Where did the song ""Have Yourself a Merry Little Christmas"" first appear?<br/><font color=""blue"">Sentence(s)</font>: The song first appeared in a scene in ""Meet Me in St. Louis"", in which a family is distraught by the father's plans to move to New York City for a job promotion, leaving behind their beloved home in St. Louis, Missouri, just before the long-anticipated 1904 World's Fair begins."
Prison_Break-Home_media,"<font color=""blue"">Question</font>: Name the 3 countries where the Blu-ray package of all four seasons including ""The Final Break"" has been released.<br/><font color=""blue"">Sentence(s)</font>: In France, Germany and the United Kingdom, a Blu-ray package of all four seasons including ""The Final Break"" has been released."
Friends-Awards,"<font color=""blue"">Question</font>: Which season of Friends did the actors choose to submit theirselves on the best actor ballet?<br/><font color=""blue"">Sentence(s)</font>: Beginning with the series' eighth season, the actors decided to submit themselves in the lead actor balloting, rather than in the supporting actor fields."
The_Big_Bang_Theory-U.S._standard_ratings,"<font color=""blue"">Question</font>: What kind of ratings has 'The Big Bang Theory' received?<br/><font color=""blue"">Sentence(s)</font>: ""The Big Bang Theory"" has been highly rated since its premiere."
Teen_Wolf-Box_office,"<font color=""blue"">Question</font>: What was the worldwide gross of Teen Wolf?<br/><font color=""blue"">Sentence(s)</font>: After its initial run, the film grossed $33,086,661 domestically, with a worldwide gross of about $80 million."
Breaking_Bad-Pink_teddy_bear,"<font color=""blue"">Question</font>: What is the teddy bear missing?<br/><font color=""blue"">Sentence(s)</font>: A motif within the second season is the image of a damaged teddy bear and its missing eye."
The_Vampire_Diaries-Home_media_releases,"<font color=""blue"">Question</font>: When the the Vampire Diaries: Season 4 become available on DVD in Region A?<br/><font color=""blue"">Sentence(s)</font>: The Vampire Diaries: Season 4 is available on DVD and Blu-ray in A as of September 15, 2013."
Doctor_Who-Official_websites,"<font color=""blue"">Question</font>: Which websites have official 50th anniversary Dr.who information?<br/><font color=""blue"">Sentence(s)</font>:  Doctor Who 50th Anniversary: Official BBC Worldwide Site – Doctor Who Doctor Who</br> BBC: The Changing Face of Doctor Who – many press cuttings and articles from 1963 onwards"
Orange_Is_the_New_Black-Main_cast,"<font color=""blue"">Question</font>: Who play Sam Healy in ""Orange is the New Black?""<br/><font color=""blue"">Sentence(s)</font>:  Michael J. Harney as Sam Healy: Healy is a correctional officer and social worker."
Nurse_Jackie-Critical_reception,"<font color=""blue"">Question</font>: what rating did Entertainment Weekly give to the first episode of Nurse Jackie<br/><font color=""blue"">Sentence(s)</font>: ""Entertainment Weekly"" gave the first episode a B+, stating ""Edie Falco brings a genial forcefulness to Nurse Jackie."""
Parks_and_Recreation-DVD_and_streaming_video,"<font color=""blue"">Question</font>: How many episodes did the Season 1 DVD of Parks and Recreation have?<br/><font color=""blue"">Sentence(s)</font>: The DVD included all six episodes, as well as an ""Extended Producer's Cut"" of the season finale, ""Rock Show""."
Gossip_Girl-Development,"<font color=""blue"">Question</font>: The characteristics for each character in the pilot were based on what book?<br/><font color=""blue"">Sentence(s)</font>: The characteristics for each character in the pilot were based on the first ""Gossip Girl"" book."
Gilmore_Girls-Awards_and_nominations,"<font color=""blue"">Question</font>: In what category was the only Emmy nomination and win for ""Gilmore Girls""?<br/><font color=""blue"">Sentence(s)</font>: The show won an Emmy for its only nomination: 2004's Outstanding Makeup for a Series for the episode ""The Festival of Living Art""."
The_Good_Wife-Technology_and_the_Internet,"<font color=""blue"">Question</font>: Which TV show has been described by Clive Thompson of Wired as ""the most tech-savvy show on TV""?<br/><font color=""blue"">Sentence(s)</font>: ""The Good Wife"" has been well received among technology enthusiasts, being described by Clive Thompson of Wired as ""the most tech-savvy show on TV""."
Family_Guy-Early_history_and_cancellation,"<font color=""blue"">Question</font>: ""Family Guy"" debuted to 22 million viewers following which annual ratings machine?<br/><font color=""blue"">Sentence(s)</font>: ""Family Guy"" officially premiered after Fox's broadcast of Super Bowl XXXIII on January 31, 1999, with ""Death Has a Shadow""."
South_Park-Merchandising,"<font color=""blue"">Question</font>: How much money does merchandising for South Park generate per year?<br/><font color=""blue"">Sentence(s)</font>: Merchandising related to the show is an industry which generates several million dollars a year."
Stone_Mountain-Attractions,"<font color=""blue"">Question</font>: What types of animals does the Plantation Farmyard hae?<br/><font color=""blue"">Sentence(s)</font>: The Plantation Farmyard features historic breeds of sheep, goats and pigs that guests can pet."
Niagara_Falls-Geology,"<font color=""blue"">Question</font>: Which direction has the Niagra Falls moved over the past 10,900 years?<br/><font color=""blue"">Sentence(s)</font>: All three formations were laid down in an ancient sea, their differences of character deriving from changing conditions within that sea.About 10,900 years ago, the Niagara Falls was located between present-day Queenston, Ontario, and Lewiston, New York, but erosion of their crest has caused the waterfalls to retreat approximately southward."
Leaning_Tower_of_Pisa-Builders,"<font color=""blue"">Question</font>: Who was the master builder of the Opera di Santa Maria Maggiore?<br/><font color=""blue"">Sentence(s)</font>:  Giovanni di Simone was heavily involved in the completion of the tower, under the direction of Giovanni Pisano, who at the time was master builder of the Opera di Santa Maria Maggiore."
Eiffel_Tower-Restaurants,"<font color=""blue"">Question</font>: How many restaurants are in the Eiffel tower?<br/><font color=""blue"">Sentence(s)</font>: The tower has two restaurants: ""Le 58 tour Eiffel"", on the first floors and the ""Le Jules Verne"", a gourmet restaurant on the second floor, with a private lift."
Machu_Picchu-Roads_and_transportation,"<font color=""blue"">Question</font>: The Incas build a road to where?<br/><font color=""blue"">Sentence(s)</font>: As part of their road system, the Incas built a road to the Machu Picchu region."
Disneyland-Tickets,"<font color=""blue"">Question</font>: In what year did Disney drop individual ride tickets and switch to a single admission price?<br/><font color=""blue"">Sentence(s)</font>: These coupons could be used for any attraction regardless of its regular value.In 1982, Disney dropped the idea for individual ride tickets to a single admission price with unlimited access to all attractions, ""except shooting galleries""."
Great_Wall_of_China-Ming_era,"<font color=""blue"">Question</font>: In what year were the Manchus able to cross the Great Wall?<br/><font color=""blue"">Sentence(s)</font>: The Manchus were finally able to cross the Great Wall in 1644, after Beijing had already fallen to Li Zicheng's rebels."
Victoria_Falls-Pre-colonial_history,"<font color=""blue"">Question</font>: Who was the first European to see Victoria Falls?<br/><font color=""blue"">Sentence(s)</font>: It also has dotted lines denoting trade routes that David Livingstone followed 140 years later.The first European to see the falls was David Livingstone on 17 November 1855, during his 1852–56 journey from the upper Zambezi to the mouth of the river."
Yellowstone_National_Park-Legal_jurisdiction,"<font color=""blue"">Question</font>: How did the defendant plead in his case relating to wildlife crime?<br/><font color=""blue"">Sentence(s)</font>: He eventually pleaded guilty."
Yosemite_National_Park-Ahwahneechee_and_the_Mariposa_Wars,"<font color=""blue"">Question</font>: What year did 8 gold miners get attacked?<br/><font color=""blue"">Sentence(s)</font>: In the spring of 1852 they attacked a group of eight gold miners, and then moved east to flee law enforcement."
Grand_Canyon-Grand_Canyon_tourism,"<font color=""blue"">Question</font>: How many visitors are there to the Grand Canyon National Park each year?<br/><font color=""blue"">Sentence(s)</font>:  tourism.Grand Canyon National Park is one of the world’s premier natural attractions, attracting about five million visitors per year."
Mount_Rushmore-Controversy,"<font color=""blue"">Question</font>: What tribe did the United Stated seize the area Mount Rushmore is in from?<br/><font color=""blue"">Sentence(s)</font>: Mount Rushmore is controversial among Native Americans because the United States seized the area from the Lakota tribe after the Great Sioux War of 1876."
Space_Needle-Labor_dispute,"<font color=""blue"">Question</font>: What year did workers of the Space Needle begin working without a contract?<br/><font color=""blue"">Sentence(s)</font>: In 2012, the union workers of the Space Needle started working without a contract when the current contract expired."
Statue_of_Liberty-Closures_and_reopening_(2001–present),"<font color=""blue"">Question</font>: What was closed to the public immediately after the Sept. 11 attacks?<br/><font color=""blue"">Sentence(s)</font>: Closures and reopening (2001–present).Following the September 11 attacks, the statue and Liberty Island were immediately closed to the public."
SeaWorld-SeaWorld_Orlando,"<font color=""blue"">Question</font>: How many roller coasters does SeaWorld Orlando have?<br/><font color=""blue"">Sentence(s)</font>: The park contains 3 roller coasters: Kraken, a floorless coaster based on the mythical sea creature, Manta, a coaster designed to simulate how manta rays move, and the Shamu Express, a coaster oriented to kids located in Shamu's Happy Harbor."
Hersheypark-Rhineland,"<font color=""blue"">Question</font>: What is Rhineland named after?<br/><font color=""blue"">Sentence(s)</font>: Rhineland is named after its Bavarian architecture and is the first park section located within the park’s gates."
Six_Flags-Licensing_with_other_brands_and_companies,"<font color=""blue"">Question</font>: What company did Six Flags partner with to make their video game?<br/><font color=""blue"">Sentence(s)</font>: Six Flags has also partnered with Brash Entertainment to create a video game called Six Flags Fun Park."
Stonehenge-Neopaganism,"<font color=""blue"">Question</font>: When was the Battle of the Beanfield?<br/><font color=""blue"">Sentence(s)</font>: After the Battle of the Beanfield in 1985, this use of the site was stopped for several years and ritual use of Stonehenge is now heavily restricted."
Colosseum-Interior_seating,"<font color=""blue"">Question</font>: What's the difference between 'immum' and 'summum'?<br/><font color=""blue"">Sentence(s)</font>: The lower part (the ""immum"") was for wealthy citizens, while the upper part (the ""summum"") was for poor citizens."
Mona_Lisa-History,"<font color=""blue"">Question</font>: Who moved the ""Mona Lisa"" to the Palace of Versailles?<br/><font color=""blue"">Sentence(s)</font>: Louis XIV moved the painting to the Palace of Versailles."
Vincent_van_Gogh-Abstract,"<font color=""blue"">Question</font>: How did Van Gogh die?<br/><font color=""blue"">Sentence(s)</font>: After years of painful anxiety and frequent bouts of mental illness, he died aged 37 from a gunshot wound, generally accepted to be self-inflicted (although no gun was ever found)."
Great_Sphinx_of_Giza-Racial_characteristics,"<font color=""blue"">Question</font>: What part of the Sphinx has been damaged?<br/><font color=""blue"">Sentence(s)</font>: The face of the Sphinx has been damaged over the millennia."
The_Starry_Night-Recent_commentaries,"<font color=""blue"">Question</font>: What painting is very similar to Van Gogh's ""Starry Night""?<br/><font color=""blue"">Sentence(s)</font>: Simon Singh, in his book ""Big Bang"", says that ""Starry Night"" has striking similarities to a sketch of the ""Whirlpool Galaxy"", drawn by Lord Rosse 44 years before Van Gogh's work."
The_Scream-In_popular_culture,"<font color=""blue"">Question</font>: What action of Munch's prefigured Andy Warhol's later use of Munch's work?<br/><font color=""blue"">Sentence(s)</font>: Munch had already begun that process, however, by making a lithograph of the work for reproduction."
Last_Supper-Prediction_of_Judas'_betrayal,"<font color=""blue"">Question</font>: How did Jesus identify the one who would betray him?<br/><font color=""blue"">Sentence(s)</font>: In the Gospel of John, when asked about the traitor, Jesus states: “It is the one to whom I will give this piece of bread when I have dipped it in the dish.” Then, dipping the piece of bread, he gave it to Judas, the son of Simon Iscariot."
American_Gothic-Creation,"<font color=""blue"">Question</font>: What did Grant Wool make a sketch of after getting permission from the Jones Family?<br/><font color=""blue"">Sentence(s)</font>: This sketch displayed a steeper roof and a longer window with a more pronounced ogive than on the actual house, features which eventually adorned the final work.Wood decided to paint the house along with ""the kind of people I fancied should live in that house."""
A_Sunday_Afternoon_on_the_Island_of_La_Grande_Jatte-Interpretation,"<font color=""blue"">Question</font>: What color scheme does the border of the painting have?<br/><font color=""blue"">Sentence(s)</font>: The border of the painting is, unusually, in inverted color, as if the world around them is also slowly inverting from the way of life they have known."
Pablo_Picasso-Rose_Period,"<font color=""blue"">Question</font>: When did the rose period end?<br/><font color=""blue"">Sentence(s)</font>: The Rose Period (1904–1906) is characterised by a more cheery style with orange and pink colours, and featuring many circus people, acrobats and harlequins known in France as saltimbanques."
Michelangelo-Figure_compositions,"<font color=""blue"">Question</font>: Which painting shows soldiers busying themselves about their assigned duty of digging a post hole and raising the cross while various people look on and discuss the events?<br/><font color=""blue"">Sentence(s)</font>: In the ""Crucifixion of Peter"" soldiers busy themselves about their assigned duty of digging a post hole and raising the cross while various people look on and discuss the events."
Leonardo_da_Vinci-Anatomy,"<font color=""blue"">Question</font>: What year did da Vinci collaborate with Marcantonio della Torre?<br/><font color=""blue"">Sentence(s)</font>: From 1510 to 1511 he collaborated in his studies with the doctor Marcantonio della Torre."
Donatello-Last_years_in_Florence,"<font color=""blue"">Question</font>: In what year did Donatello return to Florence?<br/><font color=""blue"">Sentence(s)</font>: Donatello returned to Florence in 1453."
Henry_Moore-Abstract,"<font color=""blue"">Question</font>: What year did Henry Spencer Moore pass away?<br/><font color=""blue"">Sentence(s)</font>: Henry Spencer Moore (30 July 1898 – 31 August 1986) was an English sculptor and artist."
Andy_Warhol-Early_life_(1928–1949),"<font color=""blue"">Question</font>: What year did Andy Warhol move to New York City?<br/><font color=""blue"">Sentence(s)</font>: In 1949, he moved to New York City and began a career in magazine illustration and advertising."
Salvador_Dalí-Symbolism,"<font color=""blue"">Question</font>: Where did Dali get his idea to have clocks melting?<br/><font color=""blue"">Sentence(s)</font>: The idea for clocks functioning symbolically in this way came to Dalí when he was staring at a runny piece of Camembert cheese on a hot August day.The elephant is also a recurring image in Dalí's works."
Jackson_Pollock-Authenticity_issues,"<font color=""blue"">Question</font>: Is there any way to prove if a suspected Pollock painting is authentic?<br/><font color=""blue"">Sentence(s)</font>: An inconclusive debate continues about whether or not these works are Pollock originals.</br>Physicists have argued over whether fractals can be used to authenticate the paintings.</br>This would require an analysis of geometric consistency of the paint splatters in Pollock's work at a microscopic level, and would be measured against the finding that patterns in Pollock's paintings increased in complexity with time.</br>Analysis of the synthetic pigments shows that some were not patented until the 1980s, and therefore that it is highly improbable that Pollock could have used such paints.In 2006 a documentary, ""Who the *$&% Is Jackson Pollock?"""
Henri_Matisse-Legacy,"<font color=""blue"">Question</font>: Name the The US copyright representative for Les Heritiers Matisse<br/><font color=""blue"">Sentence(s)</font>: The US copyright representative for Les Heritiers Matisse is the Artists Rights Society."
Association_football-Abstract,"<font color=""blue"">Question</font>: What is association football commonly known as?<br/><font color=""blue"">Sentence(s)</font>: Association football, commonly known as football or soccer, is a sport played between two teams of eleven players with a spherical ball."
Football-Based_on_FA_rules,"<font color=""blue"">Question</font>: What is a Triskelion?<br/><font color=""blue"">Sentence(s)</font>:  Triskelion"
Baseball-No_clock_to_kill,"<font color=""blue"">Question</font>: How long was the average American League game in 1997?<br/><font color=""blue"">Sentence(s)</font>: By 1997, the average American League game lasted 2:57 (National League games were about 10 minutes shorter—pitchers at the plate making for quicker outs than designated hitters)."
Basketball-Rules_and_regulations,"<font color=""blue"">Question</font>: How can you earn a one-point shot in Basketball?<br/><font color=""blue"">Sentence(s)</font>: A one-point shot can be earned when shooting from the foul line after a foul is made."
